name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Gresik,1/1/2020,30.4,25.2,27.5,37.2,25.2,30.1,24.4,83.8,2,100,4.17,rain,0,0,28.4,16.6,283.8,1011.5,94.3,7.1,72.1,5.8,3,,2020-01-01T05:16:40,2020-01-01T17:48:31,0.19,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"96933099999,96935099999,remote"
Gresik,1/2/2020,33.2,25.2,28.2,39.8,25.2,31.6,24.5,80.9,6,100,12.5,rain,0,0,40.3,22.3,279,1011.6,90.1,8,240.1,20.8,8,,2020-01-02T05:17:11,2020-01-02T17:48:56,0.22,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/3/2020,32.7,25.6,28.4,38.5,25.6,32,24.7,81.4,8.2,100,8.33,rain,0,0,38.5,25.9,293.1,1009.3,94.4,8.3,205.5,17.7,7,,2020-01-03T05:17:43,2020-01-03T17:49:21,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/4/2020,31.9,26.3,28.1,39,26.3,31.3,24.6,81.8,0.5,100,4.17,rain,0,0,53.3,25.2,284.1,1007.5,97.9,9.1,192.2,16.7,7,,2020-01-04T05:18:14,2020-01-04T17:49:45,0.29,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,1/5/2020,34.5,24.7,28.2,42,24.7,31.3,24.5,81.1,18.4,100,16.67,rain,0,0,43.2,20.9,273,1007.9,95.9,6.9,211.7,18.3,9,,2020-01-05T05:18:45,2020-01-05T17:50:08,0.32,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/6/2020,32.7,24.9,27.7,41.2,24.9,30.2,24.6,83.8,38,100,12.5,rain,0,0,39.6,20.2,281.3,1008.5,91.2,7.7,236.9,20.6,9,,2020-01-06T05:19:16,2020-01-06T17:50:30,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/7/2020,33.1,24.7,27.7,41.5,24.7,30.5,24.8,85,19,100,12.5,rain,0,0,40.3,21.7,289.6,1008.2,94.8,7.5,207.3,17.8,8,,2020-01-07T05:19:46,2020-01-07T17:50:52,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/8/2020,30.7,25.2,27.7,38.3,25.2,31.4,25.2,86.4,49,100,8.33,rain,0,0,36.7,14.8,282.4,1008.3,93.6,6.6,146.4,12.5,5,,2020-01-08T05:20:17,2020-01-08T17:51:13,0.42,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/9/2020,32.7,25.7,27.9,39.3,25.7,31,24.6,82.9,8,100,4.17,rain,0,0,24.1,13,275,1007.8,81.1,7.8,227.5,19.6,8,,2020-01-09T05:20:47,2020-01-09T17:51:34,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,1/10/2020,31.3,24.9,27.8,38,24.9,30.7,24.5,82.6,27,100,12.5,rain,0,0,40,16.2,279.3,1007.8,86.3,6.3,256,22,10,,2020-01-10T05:21:17,2020-01-10T17:51:53,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/11/2020,33.2,24.9,27.8,39.5,24.9,30,24,80.9,1,100,4.17,rain,0,0,30.2,24.1,271.3,1008.4,95.1,7.4,233,20.4,9,,2020-01-11T05:21:47,2020-01-11T17:52:12,0.5,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,1/12/2020,32.9,25.4,28.3,39.4,25.4,31.6,24.4,80,2,100,29.17,rain,0,0,26.3,14.8,278.7,1007.6,89.8,7.8,95.4,8.2,3,,2020-01-12T05:22:16,2020-01-12T17:52:30,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WARR,96933099999,96935099999,96935599999,remote"
Gresik,1/13/2020,32.8,26.2,29.2,40.7,26.2,33.6,24.5,76.6,0,0,0,,0,0,37.8,20.5,291.5,1006.7,88.7,8,265.6,23,9,,2020-01-13T05:22:45,2020-01-13T17:52:47,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96933099999,96935099999,remote"
Gresik,1/14/2020,33.2,26.6,29.4,40.6,26.6,34.9,25.1,78.2,1.2,100,29.17,rain,0,0,34.9,17.3,285,1008.6,82,8.9,261.8,22.7,9,,2020-01-14T05:23:14,2020-01-14T17:53:04,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96933099999,96935099999,remote"
Gresik,1/15/2020,33.4,26.9,29.1,41.1,30.4,34.3,25.1,79.6,0.8,100,8.33,rain,0,0,15.8,14.5,273.1,1009.7,72.3,8,232.7,20.2,8,,2020-01-15T05:23:43,2020-01-15T17:53:19,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/16/2020,32.3,25.9,28.9,40,25.9,33.8,25.2,81.1,0.9,100,4.17,rain,0,0,18,11.2,275.8,1010.2,73.8,6.5,224.8,19.4,8,,2020-01-16T05:24:10,2020-01-16T17:53:34,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,1/17/2020,33.4,25.9,29.6,40.3,25.9,34.4,24.6,75.7,1.6,100,25,rain,0,0,21.2,14.8,338.5,1010.1,49.7,5.4,283.8,24.6,10,,2020-01-17T05:24:38,2020-01-17T17:53:48,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96935099999,remote"
Gresik,1/18/2020,33.7,26.2,29.8,41.8,26.2,35,24.6,74.3,16,100,8.33,rain,0,0,19.1,11.2,304.5,1010.2,51,6.4,283.9,24.7,9,,2020-01-18T05:25:05,2020-01-18T17:54:00,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,1/19/2020,33.3,25.4,29.3,41.9,25.4,34.5,25.1,78.6,40.6,100,16.67,rain,0,0,22,9.4,306.5,1010.3,72.2,8.1,267,23.2,9,,2020-01-19T05:25:31,2020-01-19T17:54:12,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/20/2020,31.9,26.1,28.8,40.7,26.1,34.1,25.3,82.1,24,100,16.67,rain,0,0,25.9,11.2,293.4,1010.9,86.4,7.6,255.5,22.1,10,,2020-01-20T05:25:57,2020-01-20T17:54:23,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/21/2020,31.8,25.7,28.7,41,25.7,33.8,25.5,82.8,24.5,100,12.5,rain,0,0,24.8,14.6,302.4,1012.2,93.8,6.5,206.2,17.8,6,,2020-01-21T05:26:23,2020-01-21T17:54:33,0.87,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/22/2020,33.9,26.4,30,41.5,26.4,35.8,25.1,75.8,0.3,100,4.17,rain,0,0,18.4,14.8,212,1011.5,59,8.2,281.7,24.1,9,,2020-01-22T05:26:48,2020-01-22T17:54:42,0.9,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,1/23/2020,32.9,27.2,29.4,40.5,30.6,35.1,25.2,78.4,7.1,100,33.33,rain,0,0,25.6,14.8,173.9,1010.2,82.1,9.2,229.8,19.8,8,,2020-01-23T05:27:12,2020-01-23T17:54:50,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/24/2020,33.1,26.7,29.7,40.8,26.7,35.4,25.2,77.3,3,100,4.17,rain,0,0,19.4,13,323.3,1010.2,63.3,6.7,256.1,22,9,,2020-01-24T05:27:36,2020-01-24T17:54:58,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96933099999,96935099999,remote"
Gresik,1/25/2020,33.2,26.7,28.9,40.6,26.7,33.7,24.9,79.5,6.4,100,12.5,rain,0,0,20.2,18.4,277.7,1010.3,82.7,8.4,230.3,19.8,8,,2020-01-25T05:27:59,2020-01-25T17:55:04,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96933099999,96935099999,remote"
Gresik,1/26/2020,33.2,26,29.4,39.9,26,33.7,24.7,76.6,5,100,4.17,rain,0,0,19.8,11.2,301,1009.5,63.9,8.7,234.9,20.2,8,,2020-01-26T05:28:21,2020-01-26T17:55:09,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96933099999,96935099999,remote"
