Tanggal,Bulan,Tahun,Harga Gula (kg)
1,1,2021,"13,900"
4,1,2021,"13,900"
5,1,2021,"13,900"
6,1,2021,"13,950"
7,1,2021,"13,950"
8,1,2021,"13,950"
11,1,2021,"13,950"
12,1,2021,"13,950"
13,1,2021,"13,900"
14,1,2021,"13,900"
15,1,2021,"13,900"
18,1,2021,"13,900"
19,1,2021,"13,900"
20,1,2021,"13,800"
21,1,2021,"13,800"
22,1,2021,"13,800"
25,1,2021,"13,800"
26,1,2021,"13,950"
27,1,2021,"13,950"
28,1,2021,"13,950"
29,1,2021,"13,950"
1,2,2021,"13,950"
2,2,2021,"13,950"
3,2,2021,"13,950"
4,2,2021,"13,950"
5,2,2021,"13,950"
8,2,2021,"13,950"
9,2,2021,"13,950"
10,2,2021,"13,950"
11,2,2021,"13,950"
12,2,2021,"13,950"
15,2,2021,"13,950"
16,2,2021,"13,950"
17,2,2021,"13,950"
18,2,2021,"13,950"
19,2,2021,"13,950"
22,2,2021,"13,950"
23,2,2021,"13,950"
24,2,2021,"13,950"
25,2,2021,"13,950"
26,2,2021,"13,950"
1,3,2021,"13,950"
2,3,2021,"13,850"
3,3,2021,"13,850"
4,3,2021,"13,850"
5,3,2021,"13,850"
8,3,2021,"13,850"
9,3,2021,"13,900"
10,3,2021,"13,850"
11,3,2021,"13,850"
12,3,2021,"13,850"
15,3,2021,"13,850"
16,3,2021,"13,850"
17,3,2021,"13,850"
18,3,2021,"13,850"
19,3,2021,"13,850"
22,3,2021,"13,850"
23,3,2021,"13,850"
24,3,2021,"13,950"
25,3,2021,"13,950"
26,3,2021,"13,950"
29,3,2021,"13,950"
30,3,2021,"13,900"
31,3,2021,"13,900"
1,4,2021,"13,900"
2,4,2021,"13,900"
5,4,2021,"13,900"
6,4,2021,"13,900"
7,4,2021,"13,850"
8,4,2021,"13,850"
9,4,2021,"13,850"
12,4,2021,"13,850"
13,4,2021,"13,850"
14,4,2021,"13,800"
15,4,2021,"13,800"
16,4,2021,"13,800"
19,4,2021,"13,800"
20,4,2021,"13,800"
21,4,2021,"13,800"
22,4,2021,"13,800"
23,4,2021,"13,800"
26,4,2021,"13,800"
27,4,2021,"13,800"
28,4,2021,"13,750"
29,4,2021,"13,750"
30,4,2021,"13,750"
3,5,2021,"13,750"
4,5,2021,"13,800"
5,5,2021,"13,850"
6,5,2021,"13,850"
7,5,2021,"13,850"
10,5,2021,"13,850"
11,5,2021,"13,800"
12,5,2021,"13,800"
13,5,2021,"13,800"
14,5,2021,"13,800"
17,5,2021,"13,800"
18,5,2021,"13,850"
19,5,2021,"13,850"
20,5,2021,"13,850"
21,5,2021,"13,850"
24,5,2021,"13,850"
25,5,2021,"13,850"
26,5,2021,"13,850"
27,5,2021,"13,850"
28,5,2021,"13,850"
31,5,2021,"13,850"
1,6,2021,"13,850"
2,6,2021,"13,850"
3,6,2021,"13,850"
4,6,2021,"13,850"
7,6,2021,"13,850"
8,6,2021,"13,850"
9,6,2021,"13,850"
10,6,2021,"13,850"
11,6,2021,"13,850"
14,6,2021,"13,850"
15,6,2021,"13,850"
16,6,2021,"13,850"
17,6,2021,"13,850"
18,6,2021,"13,850"
21,6,2021,"13,850"
22,6,2021,"13,850"
23,6,2021,"13,850"
24,6,2021,"13,850"
25,6,2021,"13,850"
28,6,2021,"13,850"
29,6,2021,"13,850"
30,6,2021,"13,850"
1,7,2021,"13,850"
2,7,2021,"13,850"
5,7,2021,"13,850"
6,7,2021,"13,850"
7,7,2021,"13,850"
8,7,2021,"13,850"
9,7,2021,"13,850"
12,7,2021,"13,850"
13,7,2021,"13,900"
14,7,2021,"13,850"
15,7,2021,"13,850"
16,7,2021,"13,850"
19,7,2021,"13,850"
20,7,2021,"13,850"
21,7,2021,"13,850"
22,7,2021,"13,850"
23,7,2021,"13,850"
26,7,2021,"13,850"
27,7,2021,"13,850"
28,7,2021,"13,800"
29,7,2021,"13,800"
30,7,2021,"13,800"
2,8,2021,"13,800"
3,8,2021,"13,950"
4,8,2021,"13,900"
5,8,2021,"13,900"
6,8,2021,"13,900"
9,8,2021,"13,900"
10,8,2021,"13,900"
11,8,2021,"13,900"
12,8,2021,"13,900"
13,8,2021,"13,900"
16,8,2021,"13,900"
17,8,2021,"13,900"
18,8,2021,"13,900"
19,8,2021,"13,900"
20,8,2021,"13,900"
23,8,2021,"13,900"
24,8,2021,"13,900"
25,8,2021,"13,900"
26,8,2021,"13,900"
27,8,2021,"13,900"
30,8,2021,"13,900"
31,8,2021,"13,900"
1,9,2021,"13,900"
2,9,2021,"13,900"
3,9,2021,"13,900"
6,9,2021,"13,900"
7,9,2021,"13,900"
8,9,2021,"13,850"
9,9,2021,"13,850"
10,9,2021,"13,850"
13,9,2021,"13,850"
14,9,2021,"13,850"
15,9,2021,"13,800"
16,9,2021,"13,800"
17,9,2021,"13,800"
20,9,2021,"13,800"
21,9,2021,"13,800"
22,9,2021,"13,800"
23,9,2021,"13,800"
24,9,2021,"13,800"
27,9,2021,"13,800"
28,9,2021,"13,800"
29,9,2021,"13,800"
30,9,2021,"13,800"
1,10,2021,"13,800"
4,10,2021,"13,800"
5,10,2021,"13,850"
6,10,2021,"13,850"
7,10,2021,"13,850"
8,10,2021,"13,850"
11,10,2021,"13,850"
12,10,2021,"13,800"
13,10,2021,"13,800"
14,10,2021,"13,800"
15,10,2021,"13,800"
18,10,2021,"13,800"
19,10,2021,"13,800"
20,10,2021,"13,800"
21,10,2021,"13,800"
22,10,2021,"13,800"
25,10,2021,"13,800"
26,10,2021,"13,800"
27,10,2021,"13,800"
28,10,2021,"13,800"
29,10,2021,"13,800"
1,11,2021,"13,800"
2,11,2021,"13,800"
3,11,2021,"13,850"
4,11,2021,"13,850"
5,11,2021,"13,850"
8,11,2021,"13,850"
9,11,2021,"13,900"
10,11,2021,"13,900"
11,11,2021,"13,900"
12,11,2021,"13,900"
15,11,2021,"13,900"
16,11,2021,"13,800"
17,11,2021,"13,800"
18,11,2021,"13,800"
19,11,2021,"13,800"
22,11,2021,"13,800"
23,11,2021,"13,800"
24,11,2021,"13,800"
25,11,2021,"13,800"
26,11,2021,"13,800"
29,11,2021,"13,800"
30,11,2021,"13,800"
1,12,2021,"13,800"
2,12,2021,"13,800"
3,12,2021,"13,800"
6,12,2021,"13,800"
7,12,2021,"13,800"
8,12,2021,"13,800"
9,12,2021,"13,800"
10,12,2021,"13,800"
13,12,2021,"13,800"
14,12,2021,"13,750"
15,12,2021,"13,750"
16,12,2021,"13,750"
17,12,2021,"13,750"
20,12,2021,"13,750"
21,12,2021,"13,750"
22,12,2021,"13,750"
23,12,2021,"13,900"
24,12,2021,"13,900"
27,12,2021,"13,900"
28,12,2021,"13,900"
29,12,2021,"13,750"
30,12,2021,"13,750"
31,12,2021,"13,750"
3,1,2022,"13,750"
4,1,2022,"13,750"
5,1,2022,"13,750"
6,1,2022,"13,750"
7,1,2022,"13,750"
10,1,2022,"13,750"
11,1,2022,"13,800"
12,1,2022,"13,800"
13,1,2022,"13,800"
14,1,2022,"13,800"
17,1,2022,"13,800"
18,1,2022,"13,850"
19,1,2022,"13,950"
20,1,2022,"13,950"
21,1,2022,"13,950"
24,1,2022,"13,950"
25,1,2022,"13,950"
26,1,2022,"13,950"
27,1,2022,"13,950"
28,1,2022,"13,950"
31,1,2022,"13,950"
1,2,2022,"13,950"
2,2,2022,"13,950"
3,2,2022,"13,950"
4,2,2022,"13,950"
7,2,2022,"13,950"
8,2,2022,"13,950"
9,2,2022,"14,000"
10,2,2022,"14,000"
11,2,2022,"14,000"
14,2,2022,"14,000"
15,2,2022,"14,000"
16,2,2022,"14,000"
17,2,2022,"14,000"
18,2,2022,"14,000"
21,2,2022,"14,000"
22,2,2022,"14,100"
23,2,2022,"14,150"
24,2,2022,"14,150"
25,2,2022,"14,150"
28,2,2022,-
1,3,2022,"14,150"
2,3,2022,"14,150"
3,3,2022,"14,150"
4,3,2022,"14,150"
7,3,2022,"14,150"
8,3,2022,"14,250"
9,3,2022,"14,250"
10,3,2022,"14,250"
11,3,2022,"14,250"
14,3,2022,"14,250"
15,3,2022,"14,300"
16,3,2022,"14,300"
17,3,2022,"14,300"
18,3,2022,"14,300"
21,3,2022,"14,300"
22,3,2022,"14,300"
23,3,2022,"14,300"
24,3,2022,"14,300"
25,3,2022,"14,300"
28,3,2022,"14,300"
29,3,2022,"14,400"
30,3,2022,"14,400"
31,3,2022,"14,400"
1,4,2022,"14,400"
4,4,2022,"14,400"
5,4,2022,"14,400"
6,4,2022,"14,450"
7,4,2022,"14,350"
8,4,2022,"14,350"
11,4,2022,"14,350"
12,4,2022,"14,400"
13,4,2022,"14,550"
14,4,2022,"14,550"
15,4,2022,"14,550"
18,4,2022,"14,550"
19,4,2022,"14,550"
20,4,2022,"14,600"
21,4,2022,"14,600"
22,4,2022,"14,600"
25,4,2022,"14,600"
26,4,2022,"14,600"
27,4,2022,"14,650"
28,4,2022,"14,600"
29,4,2022,"14,600"
2,5,2022,"14,600"
3,5,2022,"14,600"
4,5,2022,"14,650"
5,5,2022,"14,700"
6,5,2022,"14,750"
9,5,2022,"14,650"
10,5,2022,"14,650"
11,5,2022,"14,700"
12,5,2022,"14,700"
13,5,2022,"14,700"
16,5,2022,"14,700"
17,5,2022,"14,700"
18,5,2022,"14,700"
19,5,2022,"14,700"
20,5,2022,"14,700"
23,5,2022,"14,700"
24,5,2022,"14,700"
25,5,2022,"14,750"
26,5,2022,"14,750"
27,5,2022,"14,750"
30,5,2022,"14,750"
31,5,2022,"14,700"
1,6,2022,"14,700"
2,6,2022,"14,700"
3,6,2022,"14,700"
6,6,2022,"14,700"
7,6,2022,"14,700"
8,6,2022,"14,750"
9,6,2022,"14,750"
10,6,2022,"14,750"
13,6,2022,"14,750"
14,6,2022,"14,750"
15,6,2022,"14,750"
